,Examples,Labels
664,,neutral
665,needs a new phone,empty
666,back at school again almost weekend oh wait i gotta work from eight to four tonight,worry
667,i loved johnny carson now im going to hate seeing jay leno go,sadness
668,even though everyone wanted to do a newish song and our teacher agreed s old grumpy doesnt like us happy haha,sadness
669,doing my english essay on rampjwtf that i should have done a long time ago when it was assigned last thursday,worry
670, i think i do it too much,worry
671, ya i was suffering the whole day yesterday met dentist and feel a bit better i still look like rocky balboa though,sadness
672, i didnt end up really eating had more snacks sigh,worry
673,finallythe internet is up the server is down in phoenix and it was fucked up,surprise
674,ups ketauan cabut nih gimana dong,neutral
675,   sorry guys i have to drop out of the trip some personal commitments,worry
676,i didnt get a callback for the play i cried oh well i guess its back to being a techie,sadness
677, awesome wish i could fly out to see her,happiness
678, i kinda wish i went with you now i cant fall asleep,sadness
679, nope het is lostampfound he ,relief
680,at rocky cola diner in whittier tonight with teacher pal mr b we had a great time chatting but no one else came,worry
681,off to bed still exhausted from vegas,neutral
682, lol very true maybe next year i loved that siggy and i dont remember what the password for the mod thing was cake,love
683,um so yehits really hard to concentrate rite now wen i have this weird lupus feeling goin thro my body,worry
684,  ouch that looks so painful,worry
685,took a  hour nap after work today and wont be able to sleep all night this is a bummer,neutral
686, i know i enjoy watching you two on twitter about as entertaining as the comic that i miss,fun
687,loving lil ken and absolutely dreading saying goodbye in less than a week,neutral
688, not yet sorry,sadness
689,all i want to do is sit back amp relax for a little while how can that be this difficult,worry
690, i thought i was your best friend,worry
691,hii thatsmee i woke up and i am going to school why me,neutral
692,fall asleep on me again but i know how it feels now lol drag me to hell tonight quite excited,sadness
693,god i cant even catch public transport swine flu is shit house,worry
694,dad just said that our trip to uk is cancelled due to da swine flu ooops sorry abang,worry
695,asks for karma points please ,neutral
696,hahaha alright ,love
697,  i have to wake up earlier than i thought my dad wants me to take him food at am noooo,hate
698,someone take me to la i need to see the lemon tree,happiness
699,um so i dont think my text msgs have a quotsubject linequot  i fail,sadness
700,tummy ache,sadness
701,math quiz if meow  but allergies  then meow  allergies  ,surprise
702,wants see my friends  ,love
703, youre so far away i dont know what to do,worry
704,la said quotwipe the slate cleanquot before the jelly,neutral
705, whos the one always working now oh yeah still me,happiness
706, unless that invite comes with a beta key im not going to be much help,neutral
707, not where i live,neutral
708, im sorry andrew i wish there was something i could do,sadness
709,as if i finsh work at eleven is that even allowd cauz i really dont want to lol,sadness
710,is anybody up  im so bored,empty
711, im not at chasetons either please dont die my heart will be really sad,sadness
712,that was an interesting show to say the least recap tomorrow first i must sleep work in am,happiness
713, o its feels like a hot box and no matter where i go in here it still feels like a hot box ice cream isnt working n e more,worry
714,very sad please get better grandma,worry
715, ugh i hate everything,worry
716,gosh todays weather is horriterrible extreme hotness im losing a lot of water weight by doing nothing  ,worry
717,is taking a moment to reflecti want my annonymity backfb is it safe to say anything about someone else to another friend again,worry
718, hey peter thanks for the follow so many sydney pastors tweet shame no bris pastors are on twitter were behind,surprise
719,  cant im not  my sister house no net tonite,neutral
720,damn hi facebook  whats wrong with you  cant add photos,neutral
721,aku kbangun gara mimpi  very bad dream,surprise
722, more followers follow me and ill love you pouts please,neutral
723, aww me too annoying ,worry
724, i dont even have a wii b likes xbox so thats what we have do you use it,neutral
725,i cant sleep this is so darn frustrating,sadness
726, i didnt get to see it tonight,neutral
727,my bff rocking hotel california now no  songs done stay the same whats next hm careless whisper,fun
728, just one of those days where loneliness creeps up on you slaps you in the face,sadness
729,rip kelly fuck,sadness
730, well i dont have vacations so lets not go there,worry
731,i think im being ignoredby my best friend jakea i hate being ignored b we all know how things go with him,worry
732, love it by the way i didnt end up having time to go this week im so sorry next week for sure,love
733,nd to last episode of jay leno itll never be the same nite twitter,neutral
734,not feeling too good,sadness
735,ok time to nodd off its gonna be a long day tomorrow saying goodbye to my car for good,sadness
736,fakin kishajust my luck,neutral
737,taking a nap after workno sleep right now the nap felt so good but now it seems like a bad idea,worry
738,is going home ive seriously had enough,worry
739,counting the minutes when my dads gfriend is leaving,enthusiasm
740,i miss oklahoma listening to citizen cope til i pass out,sadness
741,so tenseso emotionalso not me,neutral
742,  have fun i miss you guys a lot,enthusiasm
743, that makes me sad for you,worry
744,playing the game of watching straight people hook up but cant leave because of another reason,neutral
745, yeah work today never mind only one day then sun sun sun,neutral
746,feels like im going to cough up a lung,worry
747,its funny im kinda sad on my last day,sadness
748, i dont think it was either but i cant remember it,neutral
749,anyone got jbs live chat vid i was  school i saw joe hug and tackle nick lol,neutral
750,jenny fell asleep and didnt come over,sadness
751, why do we love those that we cannot have,worry
752,wishes you had teased me with movie night,sadness
753,i lost  followers over night nobody likes me,worry
754, ive missed one this year its the forbidden fruit of all the trees in the garden i munch in disappointment on that one,sadness
755,i want a new phone ive seen too much cellphone commercials ,worry
756, im soo sad its just on the edges of the pages but its not gonna come out cries,worry
757,this time i really need to shut it im going to sleep my head aches badly and i really cant take it,worry
758, i love it to but i knw there gna cut stuff out on tv,sadness
759, becuz you braggin,neutral
760, i do but im on a strict diet   ugh i feel like if i cheat for one day ill throw everything up,sadness
761,oh no hubs is so sick i hope i dont catch it,worry
762, ze franz has not friended me i think they think im a creepy stalker or sommat hmph,neutral
763,taking back the horrible shoes my mum made me get urgh they are some nasty footwear problem is i cant find any other shoes,hate
764,ran out of money i r a sad panda,worry
765,and then you find out today they had there first kiss ,neutral
766,so cal dachshund rescue found a home for my foster pup max im so sad to see him leave,sadness
767,wow i feel like ish and i really feel bad because those ignorent aholes wont overturn prop ,sadness
768,off to work now finish about pm bo,sadness
769,wishes you hadnt teased me with movie night,sadness
770, but gotta wiat till next week btwyou from mumbai itself,worry
771,dont know why so tired today bye time for beddy,neutral
772,intentando intentarlo once again,empty
773,maybe i should take up drinking again feel as if i have a massive hangover still not yself today,sadness
774,i have a really bad head ache gonna go to bed i might be back maybe not bye bye,worry
775,friends from travellers tales held a farewell party for me but i kinda disappointed them that i would still be here until sep my fault,worry
776,night  not talking to my victor im so bored at night now gr i hate this shit,hate
777,i am going to die tomorrow night  should be here,enthusiasm
778, ooh maggi goreng yums i cant eat sore throat cmin,neutral
779,gonna get off to try and catch some zs no more high school after tomorrow which really sucks i wish i didnt have to grow up,hate
780, morning hon what you having for breakfast i cant decide,neutral
781,should be sleeping lost my voice a couple day ago,sadness
782,did i mention my bf bubbled the wsop employees event after  hrs with aa working doubles now for the next  weeks,neutral
783,i was too sleepy earlier and i didnt get to see matt,sadness
784,big day day the xt launch was amazing so much free stuff thanx  the edge and telecom found the phone i wantcnt afford it yet tho,love
785, oh yeah im the poorest person of all but i shouldnt joke about that poor other people,worry
786,i just realized i spelled quotadorablequot wrong when i tweeted  she must hate me now,sadness
787, but now its gone,neutral
788, oh well i hope she gets better,worry
789, who are the crew please dont be me i dont think it is but i could be wrong i have been a number of times,worry
790,how to have a glowing face my complexion is always so pale,sadness
791,downloadfestivals lineup isnt as good as i thought it was there are some other awesome bands doing the festivals but missing dl,sadness
792,havent watched gossip girl in ages  and need one tree hill season   god im so slow,worry
793, youre cycling tho thats good healthy eating healthy and eating are a contradiction in terms,relief
794,soim kinda o sick n tired of the bs that guys dish out ,hate
795, i hate you  fleetwood is my favorite bandim so jealous ok i still love you haha,love
796,so wish the carlton game was on live stupid channel  lol,surprise
797,up early again tomorrow heading to bed now i keep saying im going to take a midday nap but it hasnt happened this week yet,worry
798,ups ketauan cabut sama   nih,neutral
799,says morning everyone off to work in  mins ,empty
800,i no i no bt i had only been a gamer for like  years when i made that attempt lol yea i luvd f to an extent ,love
801,its pm friday he left at am thursday surely he should be there now,neutral
802, im so sorry  ya gotta let me know ive been booked all week,worry
803, hahaha oh man please come to pomona i would love to see you everyday instead of like once a year if that,happiness
804, i miss you come to michigan like nowi cant wait till july,worry
805, maybe a good nights sleep for everyone,neutral
806,far  pdhpe assignment due next week and have english homework ,worry
807,forgot his access card in the cartoo lazy to fetch it,worry
808, yea its tough to keep it going sometimes im not sure its worth it,neutral
809, such a dissapointment hhaha,fun
810, hun are you okay i see alot of your posts your exercising like madnot eating or sleeping,worry
811,oh no my tweetdeck is malfunctioning o il have web will its fixd,sadness
812, im sorry about you are still sick u know most of them and i know that u will guess the quotpelzer presentquot ,sadness
813, adam samberg  new moon trailor  good evening too bad my cable is off as of friday,sadness
814, what happened im afraid i missed a large part of the story,worry
815,work at am ,neutral
816, hell yes im too late,neutral
817,dell fx pcoverip audio device teradici is giving me a hard time in linux ubuntu jaunty kernel isnt loading the sndhdaintel drv,worry
818,just got my ass kicked in tripoly lol i got such bad cards i suck,sadness
819,creeped it up at the ice cream social good times lars and the real girl such a sad movie,fun
820,so hot in here huf,worry
821,closeness or distance closeness but now everything seems so distant,worry
822,and another one bites the dust,sadness
823,ah my quotlet the right one inquot dvd broke,worry
824, hey i loved acs but i had to see it online is not here yet cant wait to buy it you look amazing there,enthusiasm
825, my thoughts dwell on a certain person,worry
826,fml my work uniform is on the washing line,worry
827,ohh shit i just realized she still not talking to me it b like dat some times,worry
828,on my nd written fuck i get less ideas every day and every day,sadness
829, naw it doesnt match up lol and i have no shenanigans to discuss but i did do the thing,worry
830, not this part unfortunately,worry
831, dude i didnt know it was a personal experience sorry something like that went down,worry
832, aww well i just randomly woke up and now i cant sleep too many things on my mind,worry
833, me too baby miss you,worry
834, since obviously living in alaska only a few radio stations we get here,neutral
835,i just murdered two fucking mouses now i cant sleep,hate
836,oh noes hey whats my tatoo say,neutral
837, i dont have a vcr,neutral
838, i wish i could have time for my xbox project all tied,sadness
839,all my pancakes always end up soggy,worry
840, very big zongzi for lunch ate more but not work morework less but eat more what can i do wh it too useless become,worry
841,sososo bummed like really bummed i hate this rain ruin my date,hate
842,working late at night on a dell notebook dells quality has gone down hill warrenty service sucks too poor people buy a mac instead,hate
843,wow that hurt way worse than i thought it would,surprise
844,why do none of my thoughts make sense when im sober,worry
845, i know right but hopefully something comes up though,neutral
846,i cant to sleep and tomorrow i must wake up too early,worry
847, as it is now my body has already developed a mind of its own but that mind refuses to cooperate with set schedules,worry
848, supposed to be back sun via private jet btwo but mite hav to stay bymyself thnk god for another week amp want bruno,neutral
849,and trash repops getting it tomorrow night i suppose,sadness
850,nursing bruises from motorbike crash on wednesday night leaving london workplace the ground is so much harder the older you get,worry
851,so bored i have a headache,worry
852,huge headachegoodnight,neutral
853,feels like crap whenever she lays down  i hate heartburn amp backaches,sadness
854, i miss you its lonely and empty without you ,sadness
855, noice i realised that after exams i have  more weeks forgot about the whole  weeks of unit  in term  thing ,sadness
856,i justwatched like  straight episodes of escaped on id discovery channel a guy imprisoned  women killed  and cooked them,neutral
857,missing everyone,sadness
858,should have gone to bed ages ago damn you tedtalks gotta get up early too,empty
859,its only  just give me my  points,neutral
860, make the most of pork products while you can theyve fucking stopped importing it here in dubai bad times,hate
861,another build failed something is not right in the big scheme of things,worry
862,my wife took my last  no mcdonalds breakfast for me today,worry
863,i wish i was going to we love sounds,love
864,my sisser is moving tomorrow and of makes me sad actually i guess technically in a couple of hours since its already friday,sadness
865,i keep on falling asleep when im suppose to be awake i miss my babyy,worry
866, why not,neutral
867,on my way to nottinghami so dont want to be going,worry
868,no churchill downs for me tomorrow,surprise
869,to chicago but why isnt my ride calling me back,neutral
870,k goodnight gotta do chuck e cheese tomorrow following kindergarten shots and physical bla,neutral
871,i need to wake up earlier so im actually tired enough to fall asleep,worry
872,bahh the police ended the party   just when i was starting,surprise
873,ive got to catch the bus to work,neutral
874, that is so sad,sadness
875, omg youve never seen the ring its a creppy ass movie,surprise
876,man  got an iphone im jealous,surprise
877, funny u havent showed me any love yet at all,love
878, absolutely nothin,neutral
879, i luv urs admitting niley with a kiss  but then they change their minds haha amp demisterling  not jemi but still cute,love
880, if it makes you feel better i lost  overnight cause i posted a picture of a baby,neutral
881,is still sick sigh,sadness
882, oh poor beths friend im not naughty im just unperfect,worry
883,josh just called me a big bucket of ugly wish me luck for my audition tweets,surprise
884,i feel really weird,sadness
885, im trying to self learn photoshop but its not going so well,surprise
886, ever seen the tv show dead like me i died and became a grim reaper taking peoples souls after accidents,worry
887, im sorry im thinking about you and hope the week gets better,neutral
888,steam punlk fashion show at anime north and for the first year since torcon we arent back til  amp missed it,worry
889,my throat hurts gonna go read and go to bed text mee,sadness
890,i am dying to hangout on a friday afternoon,worry
891,eh its cold,worry
892,man  got an iphone im jealous ,neutral
893,fjdskal im really frustrated,sadness
894, aww you shouldve youtubed it,neutral
895,wondering how come mcdonalds take so long to deliver my food,sadness
896, ya the weather has been super weird here it looked like it was gonna rain today but of course it didnt darnitt,surprise
897,  much more injustice than we can imagine now it will get worse before it gets better i am afraid no doubt here sorry,sadness
898,will miss nostalgia  everyone please kick tushar,neutral
899,soim kind of sick n tired of the bs that guys dish out ,sadness
900,class color day tomorrow last time i have a lot to remember for tomorrow but i bet ill forget ,worry
901, idk lol my head hurts rly bad amp so does my stomach hmm personally i think its from all the s ive had  deal wit,sadness
902,  but they are expensive,worry
903,wtf facebook just cleared out my whole survey and i was on the last q this night gets better and better what else is next,hate
904,says good or should i say bad afternoon ,neutral
905,says ive got number  getting low ,neutral
906,misses his twitastic fwiends,worry
907, take my advice lookin through the phone cost me my relationship,worry
908,was playing street fighter iv and seth raped me,fun
909,its weird being at the guys house without them here i dont like it,hate
910,fuck wasting deodorant i aint goin no where i aint havin company let me funk it to ya,surprise
911, i wish i knew the curse of tumblr,neutral
912,what a beautiful day  shame ive got to spend it in an office,sadness
913,i came with a q quotany recommended hairdresser u r full and they suggested me to others quot his ego talked and im in d line,empty
914,business exam tomorrow,neutral
915, oh i know how budgeting is,worry
916,just finished watching the series return of the chasers war on everything  really quite crap compared to how it used to be,sadness
917,wow just realized havent checked twitter since am when i saw my todo list good news got lot done bad newsdont know where day went,sadness
918,  miss my bestfriend  now she left school,sadness
919,ouch my earphones just shocked me,surprise
920, im trying to sleep its not working,empty
921,tummy hurts,sadness
922,back from grimsby it sucks bein back but was amazin wknd anyway,neutral
923,farewelling an employee tonight,sadness
924, haha its under   so ive got no one to go with curse none of my friends liking tai lol,neutral
925,gorgeous weather but no bike,worry
926,morning all the water heatings packed up so i cant have a bath i really want a bath,sadness
927, girls are confusing,sadness
928, lyricallyme why would you do that to me,sadness
929, seeu shouldnt be comin  the city u should be comin  me,love
930,blackout in the city is never good,sadness
931, aww maybe i traumatized her,neutral
932,  flights already booked plus its ggd st birthday cant miss that  especially as we missed ggd,happiness
933, where i live all the small markets deliver their dayold bread to the food bank but times are really tough even for me,hate
934,i have drunk hickups i had a pretty laid back great night but i still cant help but be mad about the situation i put myself in,worry
935,why do i think i have to take medicine cuz i was laughing to hard my head should not be in this much pain i thought laughter was gud,worry
936,ugh too much happened today i really need a hug,neutral
937,boring i wanna go for taekwando,enthusiasm
938,watching leno for the second to last time on the tonight show,enthusiasm
939, ur pic is gone,neutral
940,my tongue still hurts i need to sleep,worry
941,how do you twitter,neutral
942, chris and i are staying in glasgow instead cause there is absolutely no accomodation in edinburgh due to the marathon,sadness
943,i cant wait till its sunday a new episode of supernatural but then there are only  episodes left now,love
944, aw ok lol hopefully by than im still here and not back over in the states,neutral
945, sad tweets are sad,sadness
946,needs a little lie down not feeling great today boo,worry
947, not at my workplace but a shortsleeved shirt is absolutely necessary today,neutral
948,have decided i just cant stand  alltop spam any longer,sadness
949,its from all that anal sex i forgot the lube damn may need to go to the er,worry
950,playn madden with austin im going to miss him,worry
951,i miss rich,sadness
952,headache of the century coming i can feel it fuck,sadness
953,disappointed to know that i got the silver award i want the gold award i hate being second best,sadness
954,please make the livechat on saturday cus i have to go to school on weekdays am here ,worry
955,i want to go back to bed but have a child to look after i may sleep all of sunday my enevitable hangover may require it,worry
956,i just got mad tired so no sex sleepytime night,worry
957,this twitter shit bores me now i c y i havent been on here in a month,boredom
958,does anyone know how to convert  est to aus time rofl xd fucking radio disney,neutral
959,home from ice cream tweetup my very first tweetup no pics because my camera battery died last night and i forgot to charge it,sadness
960, ok thats subtly saying im no longer a fave temme  thing  did the firangs steal your vocab ur eating words and how,neutral
961, bye scotty im gonna miss you ilylt,worry
962,new comment on jowki i wish i had the time to blog more often ,worry
963,we can get a temporary tattoo i would be totally sad if he died,worry
964, gray  i so feel neglected,worry
965, oh so you know how i feel then damn representative for bank of america tried to make it sound like i did it what a b ,worry
966,is tired and cold and runny,worry
967, dun wanna travel all the way there for lunch now but yeah i have been there nice place missing shanepunjab though,sadness
968,doing a mass cleanout of my room before rearranging it just sent mother out to buy me a bin and a bookshelf since mine sucks bad mood,hate
969, rob got lucky that game he beat me ,sadness
970,feeling really sick watching the fifth element and about to smoke a cigg ugh i hate colds,hate
971,bah i dont think  fb fan page will get to ,surprise
972,someone save me i dont want to pack anymore,worry
973,home from school had the shitest day today,sadness
974, the sweety sat on the table this morningjust woke up very sweet ohbtwi think ill be home around  pm xxx,love
975,bruise on knee will make it hard to skate tomorrow,worry
976, lol when i went to buy my new laptop in feb i already knew lol but i looked anyway and walked away sadfaced ,sadness
977,fyi no internets until thurstag after saturday i have a feeling i will become x more productive during those days,neutral
978,sitting by myself everyone took the good seats,sadness
979,no free wifi my vacay is ruined,worry
980, ah well at least im up to,sadness
981, maatt havent spoken to you in ages dude dont forget bout ur aussie fan  lool love ya xx,love
982, me oh wait wrong state,sadness
983,its fucking cold here north now it was like  df yesterday where i was here its ,surprise
984,are u missing ur frnds  hear to quotmanasellaam quot from kulir degree movie its amazing  nanbargale  miss u guys ,happiness
985,trying to sleep without any pills not working am and wide awake but now its too late to take them because ill sleep til pm,worry
986,phone will die soon what to do now oh no,worry
987,sorry was that mean,sadness
988,forgot my power cable at home today,worry
989,dogs eyes seem bad just forked out on new washing machine so why not a vets bill to top it off eh,surprise
990,i cant sleep i cant find my grandmothers quilt or locket im sick at myself cause i may have lost them somehow or they were stolen,worry
991, i thought i was going to see a pic of your clean car,worry
992, i want to but im not over  and tampc says over s only wanna make an exception for me ,worry
993, no but it does amazing things with keeping all your online conversations in one place unfortunately that place is google,worry
994, sorry is only in spanish for the moment,sadness
995, yay but thats sp far away,worry
996,must clear out my dvr getting rid of it tomorrw,fun
997,bummed that f f f broke up,hate
998,i signed up for an account on a political website so i could post a comment but it isnt working,neutral
999,how come i can never sleep past not good,neutral
1000, my public talk in july got canceled and i dont know why,worry
1001, i would but its like  or  miles gas prices are crazy im doing alpine next summer most def,neutral
1002,feeling so rough today just want a cuddle and some sleep,worry
1003, oh no the economy gotcha sorry but so happy that you got another one in la enjoy socal ahahaay lol,happiness
1004, whered the songs go on the site i want quotdo youquot on this computer too,worry
1005,has had the flu pass unto me by andywent shopping and got fresh chicken for chicken soupbut no dampd this sat is a sad panda,sadness
1006,has an exam at am  i slept about  hours last night,neutral
1007,not well,sadness
1008, oh what the hell way to tell me,sadness
1009,wish i lived in or atleast relatively close to ohio havent seen  or  in almost a year,neutral
1010, oh crap,sadness
1011,so carlie came over and she fell asleep on me,happiness
1012, and within a short time of the last clue all of them,neutral
1013,my phone still doesnt tweet,neutral
1014, good idea brain you cant not be on twitter,neutral
1015, i didnt get the msg  but i bought princess,sadness
1016,trying to learn how to do this quottwitterquot thing ill get there welcome to all my followers though im not that interesting,love
1017, just checked library website and girl with dragon tattoo is checked out,neutral
1018, lol ik they are but i figure ive kept it for a year without needing virus software or to get it fixed sigh,surprise
1019,first puppy gone  new home,worry
1020,im so unhappy being here i hate it its affecting everything my relationships with people my personality my attitude,sadness
1021,theres nothing to do right now and im tired but i dont want to sleep cleaned up pretty good so proud at least id be a good janitor,sadness
1022,feeling extremally ill,worry
1023, oh my now im offended ha,sadness
1024,off work trying to relax for about  mins before ive gotta go back to sleep,relief
1025, yes it was good  see them laught at each otherbut that poor lad asking his mum amp dad  kill him,hate
1026,im at work,neutral
1027,quotmy name is tony not heyquot  poor tony,worry
1028,  whered the songs go on the site i want quotdo youquot on this computer too,neutral
1029,back time i wish i was a teenager again i wish i could feel healthy again i cant remember what its like to feel healthy anymore,worry
1030,the d version of up sold out regular version it is,sadness
1031, i dont have ur anymore i think,worry
1032, my love we still havnt done lunch together like we said we would i miss you my friend,sadness
1033,to all my friends im deeply sorry im moving i will miss u all so very very much,happiness
1034,where is my bestie when i need him ,surprise
1035, o ok why havent you accepted my friends request,neutral
1036,damn i have something to say and no one is listening,worry
1037,just got home after killing a possum,neutral
1038, omg yaya we put you  please not the end of the year,worry
1039,i miss the old healthy me and i am loosing faith that i ever will be again,worry
1040, hell yeah i missed u last nite lol do u like my opinion,fun
1041,gonna get off to try and catch some zs no more high school after tomorrow which really sucks i wish i didn ,worry
1042, thats all,neutral
1043,rawr and whatnot i am having a godawful drawing night tonight even less progress has been made than i expected,worry
1044, sure,happiness
1045, yahoo maps lots more to desire yahoo,neutral
1046,i miss my daily quotes why dont i get them anymore  am i kicked from your mailinglist,worry
1047,now aches amp chills have joined the party why couldnt the cold just go away it had to get worse,sadness
1048, i wont b here imma b in georgia and then im off to la gr,worry
1049, ohh sorry  thats someone elses pic my bad,worry
1050,missed my train by  secs yesterdaynight knijp jaap amp flashback now sitting on the blisters if you know what i mean ,worry
1051,why am i still up lol work in less than  hours,worry
1052,bed with stomach ache,sadness
1053, is that why you aint answer my call thought we were homies,worry
1054,gnite fukn nite  wanted sum pinga but couldnt get any,worry
1055, no my school will start on june two days to go i still dont want l,empty
1056,facebook quizzes are one cure of boredom haha my teethmouth hurts,neutral
1057,lappy charger is completely dead conserving whats left of the battery until i can afford to buy a new one,sadness
1058,finally accepting the fact that all cute guys are taken,sadness
1059,summer glau to appear in dollhouse next year i still cant believe they wont renew tscc,surprise
1060,finally watched the rest of the guild season  i always feel so sorry and hopeful at the same time for your char ,worry
1061, ive got one too though i think mine was attributed to the seizure inducing colorlight show in the movie the soloist,neutral
1062, cant access your site,hate
1063, i cant my heart aches for her children i wanna adopt alexis,love
1064, lunch was going home to restnot well today,love
1065,goodnight everyone,neutral
1066,those workmen extending r block cant start this early surely its am and already theyre making a racket and woken me up,empty
1067,  too bad vo got me sick i think amp i dont even have meds to feel like you,sadness
1068, nothing there,neutral
1069, youll be missed bring me back a keychain,empty
1070,only one more day of jay leno que sad,enthusiasm
1071,just spoke to keith urbans record company we cant get him on the show till were back from holidays sorry jack were trying mate,worry
1072,summer glau to appear in dollhouse next year  i still cant believe they wont renew tscc,worry
1073,honza takes his flight back to the czech republic in the morning im really going to miss him,sadness
1074,not actually managed to purchase anything from the ovi store yet constant server error on check out,boredom
1075, now theres a thought  do you still get goldfish at the fair  not seen them for years,worry
1076,  thats the sad thing about it,worry
1077,ah thats better snow patrol now to be stuck indoors still weekend coming up and fresh air excellent hope its sunny,happiness
1078,good morning my sexy twitter hows yall doing im gd but its like am n i still wanna sleep,enthusiasm
1079,oops corey saw my last tweet i guess im not getting laid tomorrow,worry
1080, cause they changed man,surprise
1081,feels disappointedmahirap talaga magsupervise ng tao ,worry
1082,i dont get twitter someone help me,worry
1083,up early again loads to do but the suns out hurrah,happiness
1084,its so fucking hot damn no air conditioning,hate
1085, i never liked that boy jerms,hate
1086,really realy want a netbook mrr technolust sucks,neutral
1087, babes it was so much fun thank you so much for making that happen had fun with the ladies too time went to fast,happiness
1088,matty is le tired,sadness
1089,watching two of my patients die tonight has put me in a funk one was young,worry
1090, mine pools just in someone elses pocket,neutral
1091,the aila cyclone left my house in calcutta with a broken sunshade balcony and a huge branch of tree thru our bathroom window,worry
1092, guys why did paranoid drop out of the countdown thats so not fair iv voted heaps for it,worry
1093, not really having a good night missing my little girl,sadness
1094,my knee is killing me im off to bed,empty
1095, i know he didnt ask me,neutral
1096,nite tweeple tomorrow will be day  at work,sadness
1097, ozzy isnt following you yet,neutral
1098,ahh man up and getting ready for work i wanna sleep,sadness
1099, i was just thinking the same thing i love our morning chats we totally need  live gether full time lol,sadness
1100,wish i was at sri panwa now,sadness
1101,i wish i was at  burning trees and trying on dresses,fun
1102,i just spent  hours playing tf and i dont think im any better at it than when i started,fun
1103, whats up im sad you didnt text today,worry
1104,tweeting from the tarmac at cork airport delayed,boredom
1105,i hate tweetdeck when it reaches access limits,neutral
1106,this sucks im tweetlessand i fn hate money why does it have to be an issue,hate
1107,have to wear my glasses today cos my right eye is swollen and i dont know why,worry
1108, you might want to get some resti promise you wont retain the knowledge sleepy,neutral
1109, i heard your moving to sydney next year im not happy,worry
1110,dam it keeps rainin on me,hate
1111,wants to go home,empty
1112,wants to listen to musiq soulchild but it is not on the ipod,sadness
1113,still has half a math worksheet science wb pages  worksheet and english to go feels a sniffle and dry eyes coming along too,worry
1114,i miss seeing fireflies,sadness
1115,never has a chance of sleeping before midnight my mind is so tired,worry
1116,  it was just alrightt,relief
1117,happy to b home  then my mind wanders an i cant sleep,worry
1118,i wanna be love drunk,love
1119,weebo is dying,worry
1120, cases of swine flu,worry
1121, hopfully a quiet one  home no cash to do anything then u coming  the pub moz  watch the pups,worry
1122,got a flat on the way in today  pot hole another thing to tick off the quotcrap things that can happen in a weekquot list,worry
1123, hang in there health should be priority  right now i do hate seeing good people get mistreated so im genuinely sorry,sadness
1124, people are pathetic how do u know some one is trying,worry
1125, had a little family party tonight hope it rocked,happiness
1126,complicated with a dream,worry
1127, ah so excited for july   ecxept stupid australia wont get it til like december but stil ah congratss,relief
1128,had a awesome time  gotmeet brandon rhyder unfortunatly i cant sleep n tomorrow back  the ole job  got my game face on,sadness
1129, and i feel your pain,sadness
1130,my pandora is hitten hard why cant real radio play great music like this,surprise
1131,orw no i want to go back to newcastle,sadness
1132, i had fun tonight ill leave you with thisbrandi carlile will be in dallas today we should just sneak into the show,relief
1133,bout to watch notorious cause thats how im feelin now wish i could eat something but i cant surgery tomorrow no food til saturday,sadness
1134,where are all you motivateddeterminedwannabe sexy successful young professionals i might really have to join a bni if there is no,surprise
1135,meh almost didnt sleep aint finished anything im close to cancel the dokomi,worry
1136,hospitals unnerve me  waiting for the doc flipping thru magazines ,worry
1137,  ah sameway yet has  votes we need more vote d,neutral
1138,i want a monte cristo sandwich so bad,neutral
1139,awake no migrane yey but tummy is hurting evil ibs,worry
1140,just finished watching quotmarley and mequot,neutral
1141, me i wanted to go,relief
1142, you guys gonna tour with short stack again i missed your last tour me friend went and said it was mad,sadness
1143, e i jealous sia i didnt get to se,surprise
1144, no fair,neutral
1145, im not at litle oven tonight,worry
1146,argh im bored so bored theres nothing to do except slouch at the computer all day long,surprise
1147,wow im really realy ill,worry
1148,nina was on my lap but just decided to jump off,neutral
1149,the swine flu is in robina gold coast,neutral
1150,im going to miss miss suhana,sadness
1151,unstable broadband and electricity taking toll on my mental stability,empty
1152,why are the sinks in hospital toilets so low now the crotch of my grey suit is spattered with water just in time for physio,sadness
1153,mary hates me again i wana walmart it butno one wants to go,worry
1154,is feeling really sick,worry
1155, and  yea just confirmed that this game indeed is already patched lol guess youll have to help me tomorrow ,surprise
1156, aww tessy wanna hug,love
1157,def wants to cuddle it out maybe play but has no one to do it with the bc is far away,neutral
1158,my face an my arms tragic seriously,worry
1159,feeling nauseous and cant sleep,boredom
1160,just got up and going to get ready to go to meadowhall  cant believe my internet broke yesterday gutted,love
1161, you didnt send me the text,worry
1162, err i think theyre like  bucks a ticket cause its d too too expensive,hate
1163,damnit i have run out of candy coated books,worry
1164,omg grr my parents left probably  minutes ago to belgium and typical i wake up a stupid oclock,hate
1165,gotta go back out there,neutral
1166,i dont remember what i text to twitter to get a list of commands halp,neutral
1167,i am watching blood  on veoh episode  love the musicwishing i could watch the live action but not old enough,love
1168,is it unny today or not taking too long to decide haha i wna get a tan,fun
1169,gonna go watch shorty street amp then prison break marathon then bed maybe nobodies texting me,surprise
1170, i miss that too,neutral
1171,tummy hurts,worry
1172,i should go get a life sam just texted me phuture tonight ,sadness
1173,just watched the goode family premiere online and i think this may be the last episode i watch its pretty amazingly mediocre pass,hate
